Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
H,18.0,0.2,-0.0345519,0,0,0,0,4,16,19,40,85,81,82,2,27,25,19,0,0,0,0,0
S,7.0,0.14,-8.95591e-05,0,0,0,0,0,0,0,0,0,379,21,0,0,0,0,0,0,0,0,0
H,1.0,0.14,0.0950747,0,0,0,0,0,3,8,44,19,13,72,106,112,18,5,0,0,0,0,0
H,16.0,0.16,0.193127,0,0,0,0,0,0,0,0,0,30,80,82,113,67,28,0,0,0,0,0
S,6.0,0.09,4.53762e-05,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
H,12.0,0.01,0.035257,0,0,0,0,0,18,95,119,131,84,62,188,140,89,73,1,0,0,0,0
H,4.0,0.14,-0.185747,0,0,0,0,0,32,96,114,56,20,35,16,31,0,0,0,0,0,0,0
S,20.0,0.06,-2.31357e-05,0,0,0,0,0,0,0,0,0,379,21,0,0,0,0,0,0,0,0,0
S,14.0,0.03,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
S,19.0,0.04,0.000179332,0,0,0,0,0,0,0,0,0,381,19,0,0,0,0,0,0,0,0,0
S,1.0,0.17,-8.7211e-05,0,0,0,0,0,0,0,0,0,365,35,0,0,0,0,0,0,0,0,0
S,16.0,0.03,-1.71382e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
S,6.0,0.19,0.000340671,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
S,18.0,0.1,-7.91808e-05,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
S,10.0,0.16,1.23952e-05,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
H,18.0,0.14,0.155279,0,0,0,0,0,0,0,0,6,34,82,141,83,48,6,0,0,0,0,0
H,20.0,0.04,-0.357428,0,0,0,0,1,134,190,49,18,8,0,0,0,0,0,0,0,0,0,0
S,5.0,0.16,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
S,14.0,0.15,0.000192638,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
H,16.0,0.09,0.180452,0,0,0,0,0,0,0,6,26,39,24,90,141,53,20,1,0,0,0,0
S,12.0,0.1,2.15097e-06,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
S,4.0,0.09,1.01838e-05,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
S,10.0,0.03,0.00025611,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
S,4.0,0.12,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
H,8.0,0.03,-0.324218,0,0,0,0,5,97,125,144,29,0,0,0,0,0,0,0,0,0,0,0
H,18.0,0.06,0.19956,0,0,0,0,0,0,0,0,0,17,51,142,116,49,23,2,0,0,0,0
H,11.0,0.06,0.0243407,0,0,0,0,1,3,26,34,57,67,70,62,22,34,23,1,0,0,0,0
S,19.0,0.11,0.000111513,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
H,2.0,0.12,0.0467579,0,0,0,0,1,53,57,22,7,30,18,18,46,109,39,0,0,0,0,0
H,7.0,0.05,0.141231,0,0,0,0,0,0,23,19,19,3,110,45,62,87,31,1,0,0,0,0
S,18.0,0.0,2.47289e-05,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
H,19.0,0.0,0.117597,0,0,0,0,0,3,16,42,3,4,59,135,90,30,18,0,0,0,0,0
H,6.0,0.11,0.251412,0,0,0,0,0,0,0,3,15,27,3,48,148,100,54,2,0,0,0,0
H,3.0,0.14,-0.31542,0,0,0,0,1,66,169,119,41,1,0,3,0,0,0,0,0,0,0,0
S,13.0,0.13,0.000267776,0,0,0,0,0,0,0,0,0,366,34,0,0,0,0,0,0,0,0,0
H,2.0,0.02,0.209831,0,0,0,0,0,0,0,0,0,12,103,68,106,75,32,4,0,0,0,0
H,3.0,0.0,-0.0713147,0,0,0,0,1,44,45,35,48,51,80,37,45,11,3,0,0,0,0,0
H,7.0,0.14,0.175539,0,0,0,0,0,0,0,1,33,33,38,89,119,62,25,0,0,0,0,0
S,13.0,0.2,4.41195e-05,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
S,12.0,0.08,0.000510648,0,0,0,0,0,0,0,0,0,367,33,0,0,0,0,0,0,0,0,0
S,9.0,0.18,0.000157454,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
H,18.0,0.04,-0.148605,0,0,0,0,1,7,7,135,156,40,42,12,0,0,0,0,0,0,0,0
S,13.0,0.17,1.24045e-06,0,0,0,0,0,0,0,0,0,388,12,0,0,0,0,0,0,0,0,0
H,11.0,0.18,0.101288,0,0,0,0,0,0,0,11,48,126,19,58,36,75,24,3,0,0,0,0
H,11.0,0.2,-0.0469187,0,0,0,0,0,0,11,100,57,74,49,88,16,1,4,0,0,0,0,0
H,2.0,0.05,0.196962,0,0,0,0,0,0,0,0,0,13,90,126,56,107,8,0,0,0,0,0
H,1.0,0.04,-0.0326152,0,0,0,0,0,12,17,21,53,103,131,52,11,0,0,0,0,0,0,0
H,15.0,0.1,0.00601363,0,0,0,0,0,10,40,18,30,80,85,91,10,23,13,0,0,0,0,0
H,8.0,0.13,0.217831,0,0,0,0,0,0,0,0,1,29,58,106,89,52,60,5,0,0,0,0
S,16.0,0.01,7.11722e-05,0,0,0,0,0,0,0,0,0,976,24,0,0,0,0,0,0,0,0,0
H,3.0,0.1,-0.258077,0,0,0,0,0,30,95,175,81,18,1,0,0,0,0,0,0,0,0,0
H,4.0,0.12,-0.210192,0,0,0,0,0,25,70,110,112,76,7,0,0,0,0,0,0,0,0,0
S,3.0,0.18,-1.61559e-05,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
S,16.0,0.15,7.11068e-05,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
