Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,34.0,0.9,0.379134,0,0,0,0,0,0,0,0,0,34,0,1,79,122,72,36,52,4,0,0
H,319.0,0.3,0.0117338,0,0,0,0,0,0,12,42,71,60,68,73,67,7,0,0,0,0,0,0
H,114.0,0.2,-0.0623284,0,0,0,0,0,25,48,61,44,67,47,37,48,16,7,0,0,0,0,0
S,108.0,0.4,-5.82937e-05,0,0,0,0,0,0,0,0,0,323,77,0,0,0,0,0,0,0,0,0
S,101.0,1.0,0.475315,0,0,0,0,0,0,0,0,0,0,0,0,11,80,183,68,25,33,0,0
H,110.0,0.8,0.761835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,69,101,142,41
H,108.0,0.8,0.29903,0,0,0,0,0,0,0,0,0,5,60,52,73,87,85,30,8,0,0,0
H,120.0,0.8,0.513611,0,0,0,0,0,0,0,0,0,0,0,12,23,96,86,69,12,75,27,0
H,331.0,0.1,0.161221,0,0,0,0,0,0,0,9,15,25,67,133,65,78,8,0,0,0,0,0
S,110.0,0.8,0.276039,0,0,0,0,0,0,0,0,0,74,1,1,120,166,7,17,14,0,0,0
H,47.0,0.9,0.891008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,59,111,217
S,314.0,0.3,0.000319083,0,0,0,0,0,0,0,0,0,348,52,0,0,0,0,0,0,0,0,0
S,105.0,0.2,-0.000151537,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
S,109.0,0.4,0.000143901,0,0,0,0,0,0,0,0,0,336,64,0,0,0,0,0,0,0,0,0
H,108.0,0.4,0.128716,0,0,0,0,0,0,4,25,27,33,69,84,72,70,16,0,0,0,0,0
H,85.0,0.7,0.301438,0,0,0,0,0,0,0,0,0,1,47,92,72,77,70,6,3,31,1,0
